# # x, y, z, Ex, Ey, Ez
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.599584915999999885e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.618699744640990756e-02+1.418323003281082850e-01j), (2.470462592522366767e-03+1.542047815056863530e-03j), (2.765689671645805373e-03-1.368129838984047386e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.209731334545454354e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.648715359528386881e-01-5.491122414843450927e-02j), (1.766055077292631725e-02-4.095583377422377935e-02j), (-8.340368556743258180e-03+2.651148655258895454e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-8.886582866666666025e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.330368882235098194e-01-1.179794228080838503e-01j), (-1.695189458942860522e-02+7.660439055455789056e-03j), (3.126043016789918638e-02-2.617133179000881438e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-8.563434398787879431e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.326615134133134810e-01-1.359420031138162399e-01j), (-1.695189458942859481e-02+7.660439055455795995e-03j), (2.880228532512714434e-02-2.878956199267635602e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-8.240285930909091103e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.322861386031171982e-01-1.539045834195486573e-01j), (-1.695189458942861216e-02+7.660439055455798597e-03j), (2.634414048235512312e-02-3.140779219534391847e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.917137463030302774e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.319107637929208876e-01-1.718671637252811024e-01j), (-1.695189458942861910e-02+7.660439055455822016e-03j), (2.388599563958315047e-02-3.402602239801144623e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.593988995151514446e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.315353889827246048e-01-1.898297440310135753e-01j), (-1.695189458942863991e-02+7.660439055455813342e-03j), (2.142785079681113619e-02-3.664425260067900869e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.270840527272727852e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.311600141725282942e-01-2.077923243367458817e-01j), (-1.695189458942865726e-02+7.660439055455839363e-03j), (1.896970595403917048e-02-3.926248280334649482e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.947692059393939523e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.247915887738239638e-01-2.293348505211668109e-01j), (6.832193574394305850e-03-2.116116537994571292e-02j), (-1.578396081078808910e-02+3.816447229440095984e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.624543591515151195e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.190075634216402944e-01-2.420237696597422605e-01j), (6.832193574394357025e-03-2.116116537994578578e-02j), (-1.575785980420251267e-02+3.248292956534524177e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.301395123636362866e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.214750364659328896e-01-2.578201221847257751e-01j), (2.552179178619278996e-02+3.068042467407501583e-03j), (7.445313683875454808e-03+3.335388897889155629e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.978246655757576272e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.254408636613335626e-01-2.726235481843721775e-01j), (2.552179178619280037e-02+3.068042467407602197e-03j), (7.599123166821847297e-03+3.382076018238119874e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.655098187878787944e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.294066908567341245e-01-2.874269741840186909e-01j), (2.552179178619281424e-02+3.068042467407713220e-03j), (7.752932649768298767e-03+3.428763138587087589e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.331949719999999615e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.333725180521347142e-01-3.022304001836651488e-01j), (2.552179178619284894e-02+3.068042467407810364e-03j), (7.906742132714736360e-03+3.475450258936052528e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.008801252121213021e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.130652511362754464e-01-4.043395561794709270e-01j), (7.135155057199155798e-03+7.122243414932814820e-02j), (1.448310136475338197e-02+8.387657392625189057e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.685652784242424693e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.146754985474010058e-01-4.202362771774516559e-01j), (7.135155057199173145e-03+7.122243414932817596e-02j), (1.249568854034657089e-02+8.126051552672118594e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.362504316363636364e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.413649369609369155e-01-5.245742422545018879e-01j), (-8.205907720826830648e-03+1.756169478064217859e-02j), (2.465200130698272374e-03-2.494440942018393004e-02j)
