# # x, y, z, Ex, Ey, Ez
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.147177060969696918e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.642810699785770878e-01+4.718935651528335246e-02j), (2.183672557565791497e-03-6.852260282710648069e-03j), (-4.707142712100424731e-03-4.387428890344695180e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.179491907757575578e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.611672380227498813e-01+5.847667646540227748e-02j), (2.183672557565790630e-03-6.852260282710674957e-03j), (-5.642733221249574688e-03-4.640657620488642526e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.211806754545454237e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.580534060669227303e-01+6.976399641552119557e-02j), (2.183672557565787160e-03-6.852260282710695774e-03j), (-6.578323730398735053e-03-4.893886350632583801e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.244121601333333244e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.549395741110955238e-01+8.105131636564021080e-02j), (2.183672557565765476e-03-6.852260282710717458e-03j), (-7.513914239547878071e-03-5.147115080776529412e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.276436448121211903e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.518257421552683173e-01+9.233863631575912889e-02j), (2.183672557565768078e-03-6.852260282710739142e-03j), (-8.449504748697008946e-03-5.400343810920476759e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.308751294909090562e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.214409207410707181e-01+9.323287732277495132e-02j), (1.430444699290579075e-02-1.090428413412263160e-02j), (-7.104689994846125067e-02+1.619050486137503519e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.341066141696969569e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.346050199723488605e-01+8.375758697045800061e-02j), (-3.258710581552602681e-02-2.452647320468329031e-04j), (1.982164793245163453e-02-3.317507060636370412e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.373380988484848228e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.324810400401548460e-01+9.166732313617559358e-02j), (-3.258710581552600599e-02-2.452647320467698025e-04j), (2.087923478221725276e-02-3.453410614709115714e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.405695835272726887e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.303570601079608593e-01+9.957705930189321430e-02j), (-3.258710581552598518e-02-2.452647320467279523e-04j), (2.193682163198288140e-02-3.589314168781878797e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.438010682060605894e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.233458381941589799e-01+1.072858830243037381e-01j), (4.374750203169500487e-04-2.486179065807232746e-04j), (8.131775605760969972e-03-3.729659696130146335e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.470325528848484553e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.673829049830190152e-02+1.161109208068208526e-01j), (-1.985298261342113152e-02-1.819521529460023292e-03j), (-2.156591291990466591e-02-5.960864414412629826e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.502640375636363212e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.655050255704088813e-02+1.269054603686720906e-01j), (-5.779539294848922391e-04-1.270823622921417838e-02j), (6.269735191323212720e-03-2.147025257688654765e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.534955222424241872e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.138569877955327658e-02+1.481318085879820279e-01j), (-1.348386163377844485e-03+1.911115512061342669e-03j), (4.524988598290518443e-03-1.058435652768578705e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.567270069212121225e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.407506800515312989e-02+1.508149398417829579e-01j), (-1.348386163377899780e-03+1.911115512061320118e-03j), (4.570397593238437021e-03-6.050166294676445622e-07j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.599584915999999885e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.676443723075312892e-02+1.534980710955837768e-01j), (-1.348386163377954207e-03+1.911115512061311444e-03j), (4.615806588186354732e-03+1.046335320179329897e-04j)
