# # x, y, z, Ex, Ey, Ez
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.599584915999999885e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.035336463632453907e-01+2.079602037225762867e-01j), (-6.099955273488733183e-03-5.543535287332356301e-03j), (1.674939813350125040e-02-3.437147410837987534e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.147177060969696918e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.428992982308064152e-01+4.524083174690076564e-02j), (-4.591485990211723565e-03-1.209967614665089820e-03j), (1.007569843057773071e-02-2.881875816513287253e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.114862214181818086e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.448542383579588588e-01+3.497361381389854640e-02j), (-4.591485990211729637e-03-1.209967614665035827e-03j), (1.138077338121399815e-02-2.750025769050454955e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.082547367393939253e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.468091784851112747e-01+2.470639588089632022e-02j), (-4.591485990211707086e-03-1.209967614664977931e-03j), (1.268584833185021007e-02-2.618175721587621615e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.050232520606060593e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.487641186122637182e-01+1.443917794789414608e-02j), (-4.591485990211714024e-03-1.209967614664934996e-03j), (1.399092328248646364e-02-2.486325674124788970e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.017917673818181760e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.507190587394161896e-01+4.171960014891912955e-03j), (-4.591485990211685402e-03-1.209967614664876449e-03j), (1.529599823312280393e-02-2.354475626661955631e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.856028270303029276e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.526739988665686054e-01-6.095257918110314962e-03j), (-4.591485990211678463e-03-1.209967614664836334e-03j), (1.660107318375903668e-02-2.222625579199121598e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.532879802424242682e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.501322750410504003e-01-2.003972282437293390e-02j), (3.598354155078836714e-03+4.950775423596299324e-02j), (1.825928972085252150e-02-1.754901153867630473e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.209731334545454354e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.422075356928599932e-01-3.667039622752415323e-02j), (3.598354155078822836e-03+4.950775423596302099e-02j), (1.927540496005965970e-02-1.550912618157643426e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-8.886582866666666025e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.429471055985355510e-01-4.585009860897044237e-02j), (-1.157041086710527966e-02+6.456506301529942038e-02j), (-4.802284467915085564e-03+9.796834117804749387e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-8.563434398787879431e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.386365248543049211e-01-6.196053693083491964e-02j), (-1.157041086710532823e-02+6.456506301529955916e-02j), (-4.459590720446764134e-03+8.120694274182568492e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-8.240285930909091103e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.343259441100743468e-01-7.807097525269944549e-02j), (-1.157041086710532823e-02+6.456506301529971181e-02j), (-4.116896972978484337e-03+6.444554430560378924e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.917137463030302774e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.300153633658436891e-01-9.418141357456399909e-02j), (-1.157041086710536987e-02+6.456506301529986447e-02j), (-3.774203225510169846e-03+4.768414586938204969e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.593988995151514446e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.257047826216130315e-01-1.102918518964285527e-01j), (-1.157041086710544620e-02+6.456506301529993386e-02j), (-3.431509478041890049e-03+3.092274743316032748e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.270840527272727852e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.213942018773824849e-01-1.264022902182930230e-01j), (-1.157041086710543926e-02+6.456506301530008651e-02j), (-3.088815730573575558e-03+1.416134899693860527e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.947692059393939523e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.170836211331517995e-01-1.425127285401575628e-01j), (-1.157041086710547395e-02+6.456506301530022529e-02j), (-2.746121983105288822e-03-2.600049439283151631e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.624543591515151195e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.127730403889211974e-01-1.586231668620221580e-01j), (-1.157041086710550865e-02+6.456506301530033631e-02j), (-2.403428235637015964e-03-1.936144787550515139e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.301395123636362866e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.084624596446905676e-01-1.747336051838866977e-01j), (-1.157041086710555028e-02+6.456506301530053060e-02j), (-2.060734488168687595e-03-3.612284631172683891e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.978246655757576272e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.142265460805339583e-01-2.448262634245376157e-01j), (-9.624497067973025732e-03-1.859329613556154615e-01j), (3.546432134727051100e-03-1.415720920196511246e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.655098187878787944e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.795091982823941779e-01-5.279003276111727816e-01j), (3.015565656311653547e-02-2.500989635545199097e-02j), (5.848040831918854821e-02+7.679717322083697006e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.331949719999999615e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.789438728839208625e-01-5.505185050960900162e-01j), (3.015565656311652160e-02-2.500989635545205342e-02j), (5.824449586952877567e-02+7.760260348493230875e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.008801252121213021e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.783785474854475472e-01-5.731366825810072507e-01j), (3.015565656311651466e-02-2.500989635545207077e-02j), (5.800858341986900313e-02+7.840803374902757805e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.685652784242424693e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.778132220869743430e-01-5.957548600659245963e-01j), (3.015565656311652853e-02-2.500989635545204648e-02j), (5.777267097020929998e-02+7.921346401312308327e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.362504316363636364e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.772478966885010832e-01-6.183730375508417199e-01j), (3.015565656311654935e-02-2.500989635545204995e-02j), (5.753675852054949275e-02+8.001889427721844972e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.039355848484848036e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.766825712900277678e-01-6.409912150357591765e-01j), (3.015565656311652853e-02-2.500989635545206036e-02j), (5.730084607088973409e-02+8.082432454131381616e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.716207380606061442e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.761172458915546191e-01-6.636093925206763000e-01j), (3.015565656311655976e-02-2.500989635545203954e-02j), (5.706493362123001706e-02+8.162975480540921036e-02j)
