# # x, y, z, Ex, Ey, Ez
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.147177060969696918e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.431120861115983189e-01+9.718567400677269319e-02j), (1.384440394499711693e-02-5.429509181957114204e-03j), (-8.509230952092178279e-02-1.117936848075207386e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.179491907757575578e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.375403564193032946e-01+1.091218194721221557e-01j), (1.384440394499716377e-02-5.429509181957006651e-03j), (-8.611307688148146788e-02-9.030402771582761098e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.211806754545454237e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.319686267270081870e-01+1.210579649374715905e-01j), (1.384440394499719326e-02-5.429509181956895629e-03j), (-8.713384424204113909e-02-6.881437062413472625e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.244121601333333244e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.263968970347130238e-01+1.329941104028211640e-01j), (1.384440394499725398e-02-5.429509181956802821e-03j), (-8.815461160260079643e-02-4.732471353244137313e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.276436448121211903e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.208251673424179440e-01+1.449302558681706543e-01j), (1.384440394499729561e-02-5.429509181956713483e-03j), (-8.917537896316043988e-02-2.583505644074850574e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.308751294909090562e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.152534376501228919e-01+1.568664013335200891e-01j), (1.384440394499735633e-02-5.429509181956591185e-03j), (-9.019614632372016660e-02-4.345399349055222016e-04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.341066141696969569e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.096817079578277565e-01+1.688025467988696904e-01j), (1.384440394499738235e-02-5.429509181956483632e-03j), (-9.121691368427981006e-02+1.714425774263790558e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.373380988484848228e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.041099782655326766e-01+1.807386922642190974e-01j), (1.384440394499745347e-02-5.429509181956372610e-03j), (-9.223768104483949515e-02+3.863391483433068624e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.405695835272726887e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.985382485732375968e-01+1.926748377295685599e-01j), (1.384440394499749163e-02-5.429509181956292813e-03j), (-9.325844840539915248e-02+6.012357192602374445e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.438010682060605894e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.929665188809424614e-01+2.046109831949181057e-01j), (1.384440394499753327e-02-5.429509181956204342e-03j), (-9.427921576595882369e-02+8.161322901771694144e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.470325528848484553e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.873947891886474371e-01+2.165471286602676237e-01j), (1.384440394499758531e-02-5.429509181956090717e-03j), (-9.529998312651849490e-02+1.031028861094097394e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.502640375636363212e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.818230594963523017e-01+2.284832741256170585e-01j), (1.384440394499763909e-02-5.429509181955990971e-03j), (-9.632075048707816611e-02+1.245925432011030058e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.534955222424241872e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.762513298040572773e-01+2.404194195909665488e-01j), (1.384440394499767205e-02-5.429509181955878214e-03j), (-9.734151784763785120e-02+1.460822002927962895e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.567270069212121225e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.706796001117620865e-01+2.523555650563162334e-01j), (1.384440394499772929e-02-5.429509181955789743e-03j), (-9.836228520819753629e-02+1.675718573844895559e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.599584915999999885e-02+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.651078704194669788e-01+2.642917105216657236e-01j), (1.384440394499777092e-02-5.429509181955719486e-03j), (-9.938305256875717975e-02+1.890615144761818855e-02j)
