# # Angle (deg), theta pol E-plane, phi pol E-plane, theta pol H-plane, phi pol H-plane
 (-3.400000000000000000e+01+0.000000000000000000e+00j), (1.055448312071886538e-02+2.236981752439137078e-02j), (1.342175656252641072e-04+1.200562209993670038e-06j), (-1.881293884917185590e-05+2.918534118248006567e-08j), (-7.356330559154820002e-03-1.971837322395771086e-02j)
 (-3.200000000000000000e+01+0.000000000000000000e+00j), (9.828026736888073253e-03+2.420338779757849612e-02j), (1.309301372610619137e-04+7.367983208923346892e-06j), (-1.563831608285502761e-05+4.059754519531133228e-06j), (-6.835726424882919948e-03-2.175809224593867192e-02j)
 (-3.000000000000000000e+01+0.000000000000000000e+00j), (9.071274731993548071e-03+2.599883641364728742e-02j), (1.269477460162324886e-04+1.332553042005177188e-05j), (-1.278683118656100132e-05+8.586569623231977451e-06j), (-6.294845418720377249e-03-2.377191967987495047e-02j)
 (-2.800000000000000000e+01+0.000000000000000000e+00j), (8.294461698628357790e-03+2.774461302922966860e-02j), (1.222740872122744457e-04+1.908764942948774492e-05j), (-1.024367097505995228e-05+1.351557181783525789e-05j), (-5.741774847030523682e-03-2.574435687700730307e-02j)
 (-2.600000000000000000e+01+0.000000000000000000e+00j), (7.508070812609781049e-03+2.942934328882453043e-02j), (1.169168369241393833e-04+2.466596162732107849e-05j), (-7.989258212416896414e-06+1.875324634038649631e-05j), (-5.184694876945969075e-03-2.765999645329221546e-02j)
 (-2.400000000000000000e+01+0.000000000000000000e+00j), (6.722705693948208619e-03+3.104191894171468014e-02j), (1.108886861403744566e-04+3.006750404125123702e-05j), (-6.001617547321262311e-06+2.420717067737871469e-05j), (-4.631770341784764884e-03-2.950367578592097070e-02j)
 (-2.200000000000000000e+01+0.000000000000000000e+00j), (5.948958634106675872e-03+3.257158718351885196e-02j), (1.042083418064575977e-04+3.529335673717712730e-05j), (-4.258711773411116569e-06+2.978622953704318369e-05j), (-4.091042704122504689e-03-3.126062973127313044e-02j)
 (-2.000000000000000000e+01+0.000000000000000000e+00j), (5.197276764887404088e-03+3.400803867251273732e-02j), (9.690141397397986469e-05+4.033770820701760375e-05j), (-2.740616242812541672e-06+3.540062175441647960e-05j), (-3.570323721341141579e-03-3.291664077553330819e-02j)
 (-1.800000000000000000e+01+0.000000000000000000e+00j), (4.477827819580778440e-03+3.534149362641222231e-02j), (8.900111625548680176e-05+4.518738594963731366e-05j), (-1.431411812654216947e-06+4.096178989896583284e-05j), (-3.077092329696639369e-03-3.445818483107723762e-02j)
 (-1.600000000000000000e+01+0.000000000000000000e+00j), (3.800367203540410029e-03+3.656278534323136736e-02j), (8.054871903762227830e-05+4.982185645578456420e-05j), (-3.206946649317543203e-07+4.638239668199332157e-05j), (-2.618396208134231469e-03-3.587257092015126714e-02j)
 (-1.400000000000000000e+01+0.000000000000000000e+00j), (3.174108146565372823e-03+3.766344041659358544e-02j), (7.159371059555108714e-05+5.421367718371986343e-05j), (5.953762946751733816e-07+5.157645485511924292e-05j), (-2.200759403504216200e-03-3.714807304255859921e-02j)
 (-1.200000000000000000e+01+0.000000000000000000e+00j), (2.607596749740617031e-03+3.863575483967365137e-02j), (6.219363936917523107e-05+5.832936382871378934e-05j), (1.313548102341873512e-06+5.645969148962479264e-05j), (-1.830097296407342394e-03-3.827405260570825724e-02j)
 (-1.000000000000000000e+01+0.000000000000000000e+00j), (2.108593760154548868e-03+3.947286512184116497e-02j), (5.241363008040031770e-05+6.213061999343163805e-05j), (1.823484360750424612e-06+6.095019616376054603e-05j), (-1.511640064069594757e-03-3.924106990274976725e-02j)
 (-8.000000000000000000e+00+0.000000000000000000e+00j), (1.683964903034794328e-03+4.016881348737430524e-02j), (4.232558591536350753e-05+6.557586374516364441e-05j), (2.108315105611558900e-06+6.496936871195175222e-05j), (-1.249865656331521644e-03-4.004098325627889615e-02j)
 (-6.000000000000000000e+00+0.000000000000000000e+00j), (1.339581566975648350e-03+4.071860619476345977e-02j), (3.200710750185941798e-05+6.862197672697788100e-05j), (2.145694966652478168e-06+6.844314879396299917e-05j), (-1.048443146292739022e-03-4.066703459939727955e-02j)
 (-4.000000000000000000e+00+0.000000000000000000e+00j), (1.080233569023115407e-03+4.111826401527307606e-02j), (2.154017579568386434e-05+7.122619644777318136e-05j), (1.909312061985850319e-06+7.130347930899492406e-05j), (-9.101871518617732837e-04-4.111392044032451121e-02j)
 (-2.000000000000000000e+00+0.000000000000000000e+00j), (9.095556181789998937e-04+4.136486394556797980e-02j), (1.100965930274955871e-05+7.334807087101871930e-05j), (1.370766258739312237e-06+7.348993080052854598e-05j), (-8.370238520049351353e-04-4.137784734832703620e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.299689454122993835e-04+4.145657130394819756e-02j), (5.017155506671417572e-07+7.495139604381069660e-05j), (5.017155506673146578e-07+7.495139604381309540e-05j), (-8.299689454122993835e-04-4.145657130394819756e-02j)
 (2.000000000000000000e+00+0.000000000000000000e+00j), (-8.426393742742202932e-04-4.139266147289590719e-02j), (9.897838136701791125e-06-7.600606173680257715e-05j), (7.238256552172018579e-07-7.564775386937767888e-05j), (8.891177230096374354e-04+4.134942047148740252e-02j)
 (4.000000000000000000e+00+0.000000000000000000e+00j), (-9.474528694962361820e-04-4.117353069954376998e-02j), (2.010510897473513455e-05-7.648973633418089022e-05j), (2.327161750622357759e-06-7.555139916456858151e-05j), (1.013647252401227205e-03+4.105730117218164832e-02j)
 (6.000000000000000000e+00+0.000000000000000000e+00j), (-1.143009324539849157e-03-4.080069554512166796e-02j), (3.003959662927439535e-05-7.638932996306196314e-05j), (4.322692864637658768e-06-7.464854150105148514e-05j), (1.201830504767124452e-03+4.058268705811132748e-02j)
 (8.000000000000000000e+00+0.000000000000000000e+00j), (-1.426635038254003363e-03-4.027678077732295414e-02j), (3.962548151656474714e-05-7.570218358922008086e-05j), (6.715917851238136538e-06-7.294018702739219287e-05j), (1.451062095419857487e-03+3.992959170509979838e-02j)
 (1.000000000000000000e+01+0.000000000000000000e+00j), (-1.794413992989584350e-03-3.960549571723825241e-02j), (4.879268239932626501e-05-7.443694113297628272e-05j), (9.501776990582258905e-06-7.044273581154776034e-05j), (1.757895160194777569e-03+3.910352505350144642e-02j)
 (1.200000000000000000e+01+0.000000000000000000e+00j), (-2.241237690929255739e-03-3.879159927573948285e-02j), (5.747764726394462309e-05-7.261407129870938815e-05j), (1.266343100265736552e-05-6.718814813194962630e-05j), (2.118088752735536838e-03+3.811143432477852311e-02j)
 (1.400000000000000000e+01+0.000000000000000000e+00j), (-2.760872942579571838e-03-3.784085413333279635e-02j), (6.562385858826537671e-05-7.026601560544446195e-05j), (1.617155022959653658e-05-6.322365659098759495e-05j), (2.526665023754749891e-03+3.696163022574253804e-02j)
 (1.600000000000000000e+01+0.000000000000000000e+00j), (-3.346046642688362688e-03-3.675997072357818640e-02j), (7.318205223210653022e-05-6.743694900283188061e-05j), (1.998416055112851075e-05-5.861102466709668530e-05j), (2.977975333332615743e-03+3.566369941836716045e-02j)
 (1.800000000000000000e+01+0.000000000000000000e+00j), (-3.988546225821808233e-03-3.555654186510391612e-02j), (8.011016720333954304e-05-6.418214947886119036e-05j), (2.404706224564024411e-05-5.342537485998120856e-05j), (3.465774351753645333e-03+3.422840437909382971e-02j)
 (2.000000000000000000e+01+0.000000000000000000e+00j), (-4.679334177528162581e-03-3.423896904444112543e-02j), (8.637306038113999672e-05-6.056698327022079454e-05j), (2.829480638589181081e-05-4.775362956149163787e-05j), (3.983301123471307686e-03+3.266757189612704004e-02j)
 (2.200000000000000000e+01+0.000000000000000000e+00j), (-5.408674697456828870e-03-3.281638147656457116e-02j), (9.194203489859740738e-05-5.666552272076078728e-05j), (3.265218245268241632e-05-4.169262412764690315e-05j), (4.523366002498674897e-03+3.099397155586802385e-02j)
 (2.400000000000000000e+01+0.000000000000000000e+00j), (-6.166270376486168367e-03-3.129854915922357372e-02j), (9.679424240612534620e-05-5.255882449307909641e-05j), (3.703614272005603138e-05-3.534696358721607119e-05j), (5.078442315647179253e-03+2.922118565042027688e-02j)
 (2.600000000000000000e+01+0.000000000000000000e+00j), (-6.941406567411436204e-03-2.969579118991860084e-02j), (1.009120271352684640e-04-4.833290662994810217e-05j), (4.135806558509913891e-05-2.882670159973399306e-05j), (5.640761572264020238e-03+2.736347199794574719e-02j)
 (2.800000000000000000e+01+0.000000000000000000e+00j), (-7.723101002479915156e-03-2.801888063166972295e-02j), (1.042822830471659484e-04-4.407647368430678134e-05j), (4.552624310459501872e-05-2.224492262311347345e-05j), (6.202411015097753465e-03+2.543562120777299179e-02j)
 (3.000000000000000000e+01+0.000000000000000000e+00j), (-8.500256143214805771e-03-2.627894719806587315e-02j), (1.068958941021637112e-04-3.987844946990184259e-05j), (4.944846886387553852e-05-1.571530605683795536e-05j), (6.755432296310729876e-03+2.345280994437240821e-02j)
 (3.200000000000000000e+01+0.000000000000000000e+00j), (-9.261811738523542670e-03-2.448737898344346964e-02j), (1.087473217992114853e-04-3.582538650522215868e-05j), (5.303460168347567407e-05-9.349744982309223291e-06j), (7.291920065164263220e-03+2.143045175042906578e-02j)
 (3.400000000000000000e+01+0.000000000000000000e+00j), (-9.996895114013391176e-03-2.265572439542110766e-02j), (1.098343938330136244e-04-3.199882942839377944e-05j), (5.619898864312842938e-05-3.256082873977939841e-06j), (7.804119269335388180e-03+1.938404698123995240e-02j)
 (3.600000000000000000e+01+0.000000000000000000e+00j), (-1.069496681491688070e-02-2.079559536001442804e-02j), (1.101583334807446443e-04-2.847271600753765108e-05j), (5.886264682467968036e-05+2.463979661095197033e-06j), (8.284520000071734364e-03+1.732903338230374832e-02j)
 (3.800000000000000000e+01+0.000000000000000000e+00j), (-1.134595937182785938e-02-1.891857277011371741e-02j), (1.097240518713674665e-04-2.531090332739251855e-05j), (6.095512569313231600e-05+7.716768295270245268e-06j), (8.725948752436535685e-03+1.528063881076784612e-02j)
 (4.000000000000000000e+01+0.000000000000000000e+00j), (-1.194040714621454405e-02-1.703611504198406304e-02j), (1.085407055290818810e-04-2.256490782704505735e-05j), (6.241599916575447883e-05+1.241828072020912451e-05j), (9.121655025741666825e-03+1.325373756048887214e-02j)
 (4.200000000000000000e+01+0.000000000000000000e+00j), (-1.246956543432372472e-02-1.515947053696329455e-02j), (1.066225006076629994e-04-2.027194573100266542e-05j), (6.319596571038835924e-05+1.649557756408276911e-05j), (9.465392255896687076e-03+1.126271170049979869e-02j)
 (4.400000000000000000e+01+0.000000000000000000e+00j), (-1.292551725611971840e-02-1.329959450125420793e-02j), (1.039897042533254528e-04-1.845335484326459530e-05j), (6.325756355029606333e-05+1.988790979261828465e-05j), (9.751492150641357520e-03+9.321318777916363582e-03j)
 (4.600000000000000000e+01+0.000000000000000000e+00j), (-1.330126652271990118e-02-1.146707107916431108e-02j), (1.006698038192998260e-04-1.711346962030781436e-05j), (6.257553352055546941e-05+2.254757953090800321e-05j), (9.974931590086362834e-03+7.442567168503277930e-03j)
 (4.800000000000000000e+01+0.000000000000000000e+00j), (-1.359081655393757151e-02-9.672040866782151067e-03j), (9.669873746517971787e-05-1.623900905267012428e-05j), (6.113688188419730599e-05+2.444053380022545035e-05j), (1.013139135787693296e-02+5.638600280757220112e-03j)
 (5.000000000000000000e+01+0.000000000000000000e+00j), (-1.378923319994639941e-02-7.924134395106498946e-03j), (9.212210618524761655e-05-1.579902149595145135e-05j), (5.894070758977068645e-05+2.554669031921410691e-05j), (1.021730608139655334e-02+3.920590731662340796e-03j)
 (5.200000000000000000e+01+0.000000000000000000e+00j), (-1.389269210123015089e-02-6.232411864115770458e-03j), (8.699626854231413704e-05-1.574541269666720060e-05j), (5.599786193401550731e-05+2.585999186905761497e-05j), (1.022990488098965423e-02+2.298645513469318481e-03j)
 (5.400000000000000000e+01+0.000000000000000000e+00j), (-1.389850989303988323e-02-4.605309391225078514e-03j), (8.138921612695941749e-05-1.601406348891638401e-05j), (5.233050322734637865e-05+2.538818175936186929e-05j), (1.016724235590121643e-02+7.817230602850072478e-04j)
 (5.600000000000000000e+01+0.000000000000000000e+00j), (-1.380515941952564253e-02-3.050591987198721707e-03j), (7.538113051762856736e-05-1.652652272554517522e-05j), (4.797159570315164781e-05+2.415228895192567173e-05j), (1.002821966574119275e-02-6.224369993577051792e-04j)
 (5.800000000000000000e+01+0.000000000000000000e+00j), (-1.361226926438098388e-02-1.575313427476324364e-03j), (6.906453144857502247e-05-1.719223974911797263e-05j), (4.296438239294440734e-05+2.218580887003198103e-05j), (9.812595597641306580e-03-1.907370752260903772e-03j)
 (6.000000000000000000e+01+0.000000000000000000e+00j), (-1.332060812597579344e-02-1.857831443738681867e-04j), (6.254394080145137902e-05-1.791127992064202974e-05j), (3.736183864750201313e-05+1.953356629998122360e-05j), (9.520987637571172793e-03-3.067933066462039983e-03j)
 (6.200000000000000000e+01+0.000000000000000000e+00j), (-1.293205476317471625e-02+1.112459776936952811e-03j), (5.593500735744487960e-05-1.857744722268861554e-05j), (3.122608960089400123e-05+1.625025133442075255e-05j), (9.154863186303447559e-03-4.100326462058218567e-03j)
 (6.400000000000000000e+01+0.000000000000000000e+00j), (-1.244955441182769851e-02+2.314665460702680470e-03j), (4.936306206843367336e-05-1.908172051415534358e-05j), (2.462775452366460006e-05+1.239862886228772275e-05j), (8.716521173398680475e-03-5.002115597935774365e-03j)
 (6.600000000000000000e+01+0.000000000000000000e+00j), (-1.187706272051384550e-02+3.416884972244487850e-03j), (4.296110171614540515e-05-1.931589536032593077e-05j), (1.764516685470721692e-05+8.047436949814934116e-06j), (8.209064424056609563e-03-5.772227351924358145e-03j)
 (6.800000000000000000e+01+0.000000000000000000e+00j), (-1.121947837743872758e-02+4.415974984390163595e-03j), (3.686722877870363449e-05-1.917631214269965503e-05j), (1.036341328310546044e-05+3.269009156342499179e-06j), (7.636363222397958735e-03-6.410936639406795631e-03j)
 (7.000000000000000000e+01+0.000000000000000000e+00j), (-1.048256569889116467e-02+5.309595503660408805e-03j), (3.122160551263898290e-05-1.856754392849404615e-05j), (2.873140142588726647e-06-1.863320783486242777e-06j), (7.003010590276478355e-03-6.919838280284422612e-03j)
 (7.200000000000000000e+01+0.000000000000000000e+00j), (-9.672868524273157270e-03+6.096200845335309100e-03j), (2.616300902194118369e-05-1.740591480467938267e-05j), (-4.730909089781454101e-06-7.277948271278422800e-06j), (6.314269863764627490e-03-7.301805382786305879e-03j)
 (7.400000000000000000e+01+0.000000000000000000e+00j), (-8.797616814661556386e-03+6.775024113650105102e-03j), (2.182509979776889040e-05-1.562272138251652090e-05j), (-1.235163626700409116e-05-1.290775291143840760e-05j), (5.576015201604983713e-03-7.560934861556011487e-03j)
 (7.600000000000000000e+01+0.000000000000000000e+00j), (-7.864627382617643200e-03+7.346055511180428488e-03j), (1.833253737625907464e-05-1.316703713632723797e-05j), (-1.989158972805808387e-05-1.869274987440009946e-05j), (4.794665703564621531e-03-7.702480843890566198e-03j)
 (7.800000000000000000e+01+0.000000000000000000e+00j), (-6.882200192221733098e-03+7.810014867209709964e-03j), (1.579709210038942303e-05-1.000799115398935325e-05j), (-2.725516674373389784e-05-2.458249307393912351e-05j), (3.977113854578805292e-03-7.732776839790023345e-03j)
 (8.000000000000000000e+01+0.000000000000000000e+00j), (-5.859011661868726399e-03+8.168318835546133083e-03j), (1.431391049805738991e-05-6.136429545566745664e-06j), (-3.435092428516416086e-05-3.053807939331300747e-05j), (3.130649045703970228e-03-7.659147657293262183e-03j)
 (8.200000000000000000e+01+0.000000000000000000e+00j), (-4.804006380160797361e-03+8.423043264981874834e-03j), (1.395809286243551043e-05-1.565888750628484014e-06j), (-4.109387466053657218e-05-3.653360760770481578e-05j), (2.262876957748157728e-03-7.489812133956852760e-03j)
 (8.400000000000000000e+01+0.000000000000000000e+00j), (-3.726288609292206875e-03+8.576881287849023872e-03j), (1.478173498823687079e-05+3.667165366201793483e-06j), (-4.740762147436192414e-05-4.255696185281879142e-05j), (1.381635629803600312e-03-7.233777828632350498e-03j)
 (8.600000000000000000e+01+0.000000000000000000e+00j), (-2.635014902677939967e-03+8.633097702097159223e-03j), (1.681157182093794664e-05+9.503851349093768441e-06j), (-5.322618318514758774e-05-4.860981751724937320e-05j), (4.949090735438232405e-04-6.900728875906619875e-03j)
 (8.800000000000000000e+01+0.000000000000000000e+00j), (-1.539289106228978847e-03+8.595480239019277421e-03j), (2.004733955644069708e-05+1.586412862718508099e-05j), (-5.849535852677480516e-05-5.470680619160182660e-05j), (-3.892606653800305839e-04-6.500908250120530744e-03j)
 (9.000000000000000000e+01+0.000000000000000000e+00j), (-4.480609474175053044e-04+8.468288312261654932e-03j), (2.446094539213449040e-05+2.264875704039055071e-05j), (-6.317351086274038878e-05-6.087382358963574456e-05j), (-1.262862056879263247e-03-6.044995718405492269e-03j)
 (9.200000000000000000e+01+0.000000000000000000e+00j), (6.299706554451398825e-04+8.256199835164998446e-03j), (2.999650191336680373e-05+2.974189164307887833e-05j), (-6.723168604451739924e-05-6.714551703326763501e-05j), (-2.118002266961066440e-03-5.543982784233062421e-03j)
 (9.400000000000000000e+01+0.000000000000000000e+00j), (1.686448508558265058e-03+7.964256674890961979e-03j), (3.657124750180678875e-05+3.701421941814842680e-05j), (-7.065302770501498842e-05-7.356204335645300158e-05j), (-2.946993957635828023e-03-5.009045935853976943e-03j)
